GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab1,SQAT.controller,AuthController,305,19,0,0,34,7,16,1,16,1
lab1,SQAT.constant,Constant,3,19,0,0,1,6,1,1,1,1
lab1,SQAT,Application,5,8,0,0,2,2,1,2,1,2
lab1,SQAT,Test,32,0,0,0,9,0,2,0,2,0
lab1,SQAT,Application.new CommandLineRunner() {...},0,7,0,0,0,2,0,2,0,2
lab1,SQAT.controller.request,LoginRequest,0,17,0,0,0,8,0,5,0,5
lab1,SQAT.controller.request,PartPayLoanRequest,0,31,0,0,0,13,0,9,0,9
lab1,SQAT.controller.request,LoanPlanRequest,0,24,0,0,0,11,0,7,0,7
lab1,SQAT.controller.request,CheckIdRequest,0,24,0,0,0,11,0,7,0,7
lab1,SQAT.controller.request,GetLoanDetailRequest,0,17,0,0,0,8,0,5,0,5
lab1,SQAT.controller.request,PayLoanRequest,0,24,0,0,0,11,0,7,0,7
lab1,SQAT.controller.request,EvaluateUserCreditRatingRequest,0,17,0,0,0,8,0,5,0,5
lab1,SQAT.controller.request,GetPenaltyRequest,17,0,0,0,8,0,5,0,5,0
lab1,SQAT.controller.request,GetProductRequest,0,17,0,0,0,8,0,5,0,5
lab1,SQAT.controller.request,BuyProductRequest,45,0,0,0,20,0,13,0,13,0
lab1,SQAT.controller.request,AutoPayLoanRequest,0,17,0,0,0,7,0,5,0,5
lab1,SQAT.controller.request,PayPenaltyRequest,17,0,0,0,8,0,5,0,5,0
lab1,SQAT.controller.request,GetPurchaseRecordRequest,17,0,0,0,8,0,5,0,5,0
lab1,SQAT.controller.request,GetFlowRequest,0,10,0,0,0,5,0,3,0,3
lab1,SQAT.controller.request,GetLoanAccountListRequest,0,10,0,0,0,5,0,3,0,3
lab1,SQAT.util,BackendHttpRequest,27,128,0,6,9,28,0,7,0,4
lab1,SQAT.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
lab1,SQAT.config,CorsConfig.new WebMvcConfigurer() {...},0,47,0,0,0,9,0,2,0,2
lab1,SQAT.config,SecurityConfig,0,18,0,0,0,3,0,2,0,2
lab1,SQAT.domain,Product,4,41,0,0,2,18,1,12,1,12
lab1,SQAT.domain,Account,0,31,0,0,0,14,0,9,0,9
lab1,SQAT.domain,LoanAccount,72,247,0,0,25,108,6,70,6,70
lab1,SQAT.domain,TransactionRecordDto,48,88,0,0,16,43,16,23,16,23
lab1,SQAT.domain,SpecificPurchase,10,70,0,0,4,31,3,20,3,20
lab1,SQAT.domain,LoanPlan,18,111,0,0,6,50,6,31,6,31
lab1,SQAT.response,GetLoanDetailResponse,0,69,0,0,0,19,0,12,0,12
lab1,SQAT.response,GetFlowResponse,45,105,0,0,15,43,15,23,15,23
lab1,SQAT.response,CheckIdResponse,3,60,0,0,1,18,1,11,1,11
lab1,SQAT.response,LoginResponse,0,32,0,0,0,9,0,6,0,6
lab1,SQAT.response,GetLoanAccountListResponse,45,105,0,0,15,43,15,23,15,23
lab1,SQAT.response,LoanPlanResponse,0,68,0,0,0,19,0,12,0,12
lab1,SQAT.service,GetFlowInformationService,9,44,0,2,4,13,0,3,0,2
lab1,SQAT.service,LoanRepaymentService,5,1198,0,68,2,231,0,43,0,9
lab1,SQAT.service,CheckService,20,767,0,28,8,177,0,22,0,8
lab1,SQAT.service,FinancialPurchaseService,0,498,0,58,0,120,0,36,0,7
lab1,SQAT.exception,MeetingnameHasBeenRegisteredException,13,0,0,0,2,0,1,0,1,0
lab1,SQAT.exception,UsernameHasBeenRegisteredException,13,0,0,0,2,0,1,0,1,0
lab1,SQAT.exception,ControllerAdvisor,64,3,0,0,12,1,4,1,4,1
